applicant_id,cohort,selected,age_at_application,age_at_survey,age_gap,application_year_plus_age_gap
100195,A_2020,1,13.0,15.0,2.0,2022.0
100196,B_2018,0,13.0,17.0,4.0,2022.0
100197,B_2018,1,13.0,17.0,4.0,2022.0
100198,A_2020,1,12.0,14.0,2.0,2022.0
100199,A_2022,1,12.0,14.0,2.0,2024.0
100200,A_2020,1,15.0,17.0,2.0,2022.0
100201,A_2020,0,12.0,14.0,2.0,2022.0
100202,A_2020,1,13.0,15.0,2.0,2022.0
100203,A_2020,1,15.0,18.0,3.0,2023.0
100204,A_2020,1,12.0,14.0,2.0,2022.0
100206,A_2020,0,12.0,14.0,2.0,2022.0
100207,A_2020,0,13.0,16.0,3.0,2023.0
100209,A_2022,1,11.0,12.0,1.0,2023.0
100210,A_2020,0,15.0,18.0,3.0,2023.0
100211,A_2020,0,14.0,16.0,2.0,2022.0
100212,A_2022,0,14.0,16.0,2.0,2024.0
100213,A_2020,1,12.0,14.0,2.0,2022.0
100214,A_2020,1,11.0,14.0,3.0,2023.0
100215,A_2020,0,13.0,15.0,2.0,2022.0
100216,A_2020,0,11.0,14.0,3.0,2023.0
100217,A_2020,0,13.0,16.0,3.0,2023.0
100218,A_2020,0,14.0,16.0,2.0,2022.0
100219,A_2022,1,12.0,12.0,0.0,2022.0
100220,A_2020,0,13.0,15.0,2.0,2022.0
100221,A_2020,1,14.0,16.0,2.0,2022.0
100222,A_2020,1,12.0,15.0,3.0,2023.0
100223,A_2020,1,13.0,15.0,2.0,2022.0
100224,A_2020,0,12.0,15.0,3.0,2023.0
100225,A_2020,1,11.0,13.0,2.0,2022.0
100226,A_2020,0,15.0,18.0,3.0,2023.0
100227,A_2020,0,12.0,13.0,1.0,2021.0
100228,A_2020,0,13.0,17.0,4.0,2024.0
100229,B_2018,1,12.0,16.0,4.0,2022.0
100230,A_2020,0,12.0,14.0,2.0,2022.0
100232,B_2018,1,11.0,16.0,5.0,2023.0
100233,A_2020,1,13.0,16.0,3.0,2023.0
100234,A_2020,0,12.0,14.0,2.0,2022.0
100235,A_2020,0,12.0,14.0,2.0,2022.0
100236,A_2022,0,13.0,13.0,0.0,2022.0
100237,A_2020,0,11.0,14.0,3.0,2023.0
100238,A_2020,1,14.0,17.0,3.0,2023.0
100239,A_2020,0,12.0,15.0,3.0,2023.0
100240,A_2020,0,13.0,15.0,2.0,2022.0
100241,A_2020,0,12.0,14.0,2.0,2022.0
100242,A_2020,0,13.0,16.0,3.0,2023.0
100243,A_2020,1,13.0,16.0,3.0,2023.0
100244,A_2020,0,12.0,14.0,2.0,2022.0
100245,A_2022,1,12.0,12.0,0.0,2022.0
100246,B_2018,0,12.0,17.0,5.0,2023.0
100247,A_2020,1,14.0,16.0,2.0,2022.0
100248,A_2020,1,14.0,16.0,2.0,2022.0
100249,A_2020,1,13.0,15.0,2.0,2022.0
100250,A_2022,0,12.0,12.0,0.0,2022.0
100251,A_2020,1,11.0,13.0,2.0,2022.0
100252,A_2020,1,13.0,15.0,2.0,2022.0
100253,A_2020,0,13.0,15.0,2.0,2022.0
100254,A_2020,1,13.0,16.0,3.0,2023.0
100255,A_2020,1,15.0,18.0,3.0,2023.0
