applicant_id,mother_age,father_age,mother_age_clean,father_age_clean
100431,35.0,36.0,35.0,36.0
100432,29.0,43.0,29.0,43.0
100433,38.0,34.0,38.0,34.0
100434,45.0,41.0,45.0,41.0
100435,,,,
100436,40.0,47.0,40.0,47.0
100437,42.0,55.0,42.0,55.0
100438,50.0,54.0,50.0,54.0
100439,35.0,35.0,35.0,35.0
100440,41.0,50.0,41.0,50.0
100441,35.0,,35.0,
100442,35.0,38.0,35.0,38.0
100443,36.0,42.0,36.0,42.0
100444,49.0,,49.0,
100445,50.0,46.0,50.0,46.0
100446,38.0,,38.0,
100447,33.0,,33.0,
100448,35.0,42.0,35.0,42.0
100449,49.0,64.0,49.0,64.0
100450,35.0,38.0,35.0,38.0
100451,40.0,47.0,40.0,47.0
100452,40.0,43.0,40.0,43.0
100453,30.0,32.0,30.0,32.0
100454,45.0,43.0,45.0,43.0
100455,39.0,50.0,39.0,50.0
100456,27.0,30.0,27.0,30.0
100457,36.0,,36.0,
100458,39.0,38.0,39.0,38.0
100459,45.0,,45.0,
100460,32.0,,32.0,
100461,37.0,41.0,37.0,41.0
100462,43.0,,43.0,
100463,31.0,39.0,31.0,39.0
100464,37.0,43.0,37.0,43.0
100465,31.0,33.0,31.0,33.0
100466,,,,
100467,,,,
100468,36.0,37.0,36.0,37.0
100469,48.0,50.0,48.0,50.0
100470,35.0,42.0,35.0,42.0
100471,43.0,,43.0,
100472,34.0,36.0,34.0,36.0
100473,45.0,,45.0,
100474,47.0,,47.0,
100475,44.0,51.0,44.0,51.0
100476,43.0,50.0,43.0,50.0
100477,42.0,38.0,42.0,38.0
100478,35.0,38.0,35.0,38.0
100479,48.0,49.0,48.0,49.0
100480,52.0,50.0,52.0,50.0
100481,47.0,51.0,47.0,51.0
100482,34.0,38.0,34.0,38.0
100483,44.0,56.0,44.0,56.0
100484,47.0,46.0,47.0,46.0
100485,45.0,39.0,45.0,39.0
100486,42.0,44.0,42.0,44.0
100487,43.0,,43.0,
100488,59.0,,59.0,
100489,35.0,34.0,35.0,34.0
100490,34.0,41.0,34.0,41.0
100491,31.0,35.0,31.0,35.0
100492,37.0,37.0,37.0,37.0
100493,42.0,47.0,42.0,47.0
100494,32.0,,32.0,
100495,35.0,,35.0,
100496,,,,
100497,43.0,40.0,43.0,40.0
