"applicant_id","cohort","selected","male","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","years_in_school","receiving_aid_now","history_g6_g7_current","g6_private_current_nonprivate","ever_g6_g7_private_current_nonprivate","current_status"
100065,"A_2020",0,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100066,"A_2020",1,0,0,0,0,1,9,4,0,"0 -> 0 -> 0",FALSE,FALSE,"Currently enrolled"
100067,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100068,"A_2020",1,1,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100069,"A_2020",1,0,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100070,"A_2022",1,0,1,1,1,1,6,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100071,"A_2022",0,0,1,1,1,1,6,2,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100072,"A_2020",0,1,1,1,0,0,6,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100073,"A_2020",0,0,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100074,"A_2020",1,1,1,1,1,1,9,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100075,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100076,"A_2020",1,1,1,0,0,0,6,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100077,"A_2020",0,1,1,1,1,1,8,4,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100078,"A_2020",1,1,1,1,0,0,8,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100079,"A_2020",1,1,1,1,1,1,8,4,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100080,"B_2018",0,1,1,1,1,1,8,5,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100081,"A_2022",1,0,1,1,1,1,6,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100082,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100083,"A_2020",1,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100084,"A_2020",1,0,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100085,"A_2020",0,1,1,1,1,1,5,4,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100086,"A_2020",1,0,1,1,1,1,8,4,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100087,"A_2022",1,0,1,1,1,1,6,2,1,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100088,"B_2018",1,1,1,1,,,9,4,0,"1 -> 1 -> ?",FALSE,FALSE,"Enrollment unknown"
100089,"B_2018",0,1,0,1,1,1,10,6,0,"0 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
100090,"A_2022",0,0,1,1,1,1,6,2,0,"1 -> 1 -> 1",FALSE,FALSE,"Currently enrolled"
