"applicant_id","cohort","selected","male","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","years_in_school","receiving_aid_now","history_g6_g7_current","g6_private_current_nonprivate","ever_g6_g7_private_current_nonprivate","current_status"
100280,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100281,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100282,"A_2020",1,1,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100288,"A_2020",0,0,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100291,"A_2020",1,1,1,1,0,0,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100294,"A_2020",1,0,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100296,"A_2020",1,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100299,"A_2020",1,1,1,1,0,1,8,4,1,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100300,"A_2020",0,0,1,0,0,1,6,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100306,"A_2020",1,1,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100307,"A_2022",1,1,1,0,0,1,5,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100309,"A_2020",1,1,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100313,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100315,"B_2018",1,0,1,1,0,0,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100319,"A_2020",0,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100323,"A_2020",0,0,1,0,0,1,7,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100328,"A_2022",0,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100334,"A_2020",0,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100336,"A_2020",0,1,1,1,0,0,9,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100337,"A_2020",1,0,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100339,"A_2020",0,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100346,"A_2020",0,0,1,0,0,0,6,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100349,"B_2018",0,1,1,1,0,0,8,5,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100350,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100351,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100352,"A_2020",0,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100361,"B_2018",0,1,1,0,0,1,9,6,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100366,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100367,"A_2020",0,1,1,0,0,0,5,0,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100379,"A_2020",0,0,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100384,"A_2020",1,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100387,"A_2020",0,1,1,0,0,1,6,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100398,"A_2020",0,0,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100399,"A_2022",0,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100402,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100405,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100410,"A_2020",0,1,1,0,0,1,6,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100411,"B_2018",0,1,1,1,0,0,11,5,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100412,"A_2020",0,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100415,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100417,"B_2018",0,0,1,1,0,1,9,6,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100423,"A_2020",0,1,1,1,0,1,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100437,"A_2020",1,1,1,1,0,1,8,5,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100440,"A_2022",1,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100445,"B_2018",0,1,1,1,0,1,8,6,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100446,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100447,"A_2020",0,0,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100451,"A_2020",1,0,1,1,0,1,8,5,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100452,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100459,"A_2020",1,1,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100460,"A_2020",0,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100462,"A_2020",1,1,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100470,"A_2020",0,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100472,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100475,"A_2020",0,1,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100478,"A_2020",0,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100483,"A_2020",1,0,1,1,0,0,8,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100485,"A_2020",0,0,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100488,"A_2020",0,0,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100489,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100503,"A_2020",1,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100504,"A_2020",0,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100505,"A_2020",1,1,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100509,"A_2020",1,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100510,"A_2020",0,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100512,"A_2020",1,0,1,0,0,1,5,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100520,"A_2020",1,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100522,"A_2022",0,1,1,0,0,1,7,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100525,"A_2020",0,1,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100527,"A_2020",0,0,1,1,0,0,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100529,"A_2020",0,1,1,0,0,0,5,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100530,"A_2020",0,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100532,"B_2018",1,1,1,0,0,1,8,6,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100533,"A_2020",0,0,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100537,"A_2020",1,1,1,1,0,0,9,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100543,"A_2020",0,1,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100546,"A_2020",0,1,1,1,0,0,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100560,"A_2020",1,1,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100566,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100568,"A_2022",0,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100569,"A_2022",1,0,1,0,0,1,6,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100570,"A_2020",1,0,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100572,"A_2020",1,1,1,1,0,0,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100573,"A_2020",0,1,1,1,0,1,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100577,"B_2018",0,0,1,1,0,1,9,6,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100579,"A_2020",1,0,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100582,"A_2022",0,0,1,0,0,0,6,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100592,"A_2020",1,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100605,"A_2020",0,0,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100607,"A_2020",0,1,1,1,0,1,7,5,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100609,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100610,"A_2020",1,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100614,"A_2022",0,1,1,0,0,1,6,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100615,"A_2022",0,0,1,1,0,1,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100619,"A_2020",0,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100620,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100621,"A_2020",1,1,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100622,"A_2020",1,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100623,"A_2020",1,1,1,1,0,0,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100625,"A_2022",0,1,1,1,0,1,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100630,"A_2020",0,1,1,0,0,0,6,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100634,"A_2020",0,0,1,0,0,1,6,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100636,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100637,"A_2020",1,1,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100644,"A_2020",0,0,1,0,0,1,6,3,1,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100650,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100653,"A_2020",0,1,1,0,0,0,6,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100655,"B_2018",1,1,1,1,0,1,9,6,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100656,"A_2020",1,0,1,0,0,0,6,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100660,"A_2020",0,0,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100666,"B_2018",0,0,1,1,0,0,8,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100669,"B_2018",1,0,1,1,0,0,9,5,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100674,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100675,"B_2018",0,0,1,1,0,1,9,6,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100677,"A_2022",1,1,1,0,0,0,5,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100682,"A_2022",1,0,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100686,"A_2020",1,0,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100688,"A_2020",0,1,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100691,"A_2020",1,1,1,1,0,0,8,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100692,"A_2020",1,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100693,"A_2020",0,0,1,0,0,0,6,1,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100695,"A_2020",1,1,1,0,0,0,6,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100696,"A_2020",1,1,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100701,"A_2020",0,0,1,1,0,0,8,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100704,"A_2020",1,0,1,1,0,0,11,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100706,"A_2020",1,1,1,1,0,1,10,6,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100710,"A_2020",0,0,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100715,"A_2020",1,0,1,1,0,1,7,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100716,"A_2020",0,1,1,1,0,1,8,4,0,"1 -> 1 -> 0",TRUE,TRUE,"Currently enrolled"
100723,"A_2020",1,1,1,1,0,0,7,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100731,"A_2020",1,0,1,1,0,0,6,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100732,"B_2018",1,0,1,1,0,0,7,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100733,"A_2020",1,0,1,0,0,1,6,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100735,"A_2020",0,0,1,1,0,0,6,2,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100736,"A_2020",1,0,1,1,0,0,11,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100739,"A_2020",0,1,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100741,"A_2020",0,0,1,0,0,1,8,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100750,"A_2020",1,0,1,0,0,1,7,4,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100752,"A_2020",1,0,1,1,0,0,8,3,0,"1 -> 1 -> 0",TRUE,TRUE,"Not currently enrolled; completion or exit unknown"
100760,"A_2020",0,0,1,0,0,1,7,3,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
100765,"A_2022",0,1,1,0,0,1,6,2,0,"1 -> 0 -> 0",TRUE,TRUE,"Currently enrolled"
