"applicant_id","municipality","application_year","selected","male","age_at_application","has_phone","ses_stratum","neighborhood","age_at_survey","survey_month","survey_form","household_visit","mother_educ","father_educ","mother_age","father_age","father_income_high","receiving_aid_now","started_g6_private","started_g7_private","in_private_now","in_school_now","highest_grade","finished_g6","finished_g7","finished_g8","repeats_g6","ever_repeated","total_repeats","years_in_school","married_or_cohab","has_child","working","hours_worked","cohort","selected_clean","male_clean","has_phone_clean","survey_form_clean","household_visit_clean","father_income_high_clean","receiving_aid_now_clean","started_g6_private_clean","started_g7_private_clean","in_private_now_clean","in_school_now_clean","finished_g6_clean","finished_g7_clean","finished_g8_clean","ever_repeated_clean","married_or_cohab_clean","has_child_clean","working_clean","ses_stratum_clean","neighborhood_clean","survey_month_clean","repeats_g6_clean","total_repeats_clean","age_change","age_unverifiable","age_decreased","age_unchanged","age_outside_2_to_4","age_at_survey_clean","grade_conflict","grade_below_5_review","school_years_below_grade_progress_review","finished_g6_conflict","finished_g7_conflict","finished_g8_conflict","repeats_conflict","private_school_conflict","mother_child_age_gap","mother_age_gap_over_60","mother_age_clean","father_child_age_gap","father_age_gap_over_60","father_age_clean","work_hours_conflict","years_in_school_above_4","years_in_school_exceeds_age_gap_plus_1","primary_logic_flag","age_at_application_missing","ses_stratum_missing","neighborhood_missing","age_at_application_imp","ses_stratum_imp","male_c","has_phone_c","age_at_application_imp_c","age_at_application_missing_c","ses_stratum_imp_c","ses_stratum_missing_c"
100020,"A",2022,1,0,12,1,3,,13,8,1,0,5,6,42,43,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,,8,0,0,1,FALSE,FALSE,FALSE,TRUE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,42,30,FALSE,43,FALSE,FALSE,FALSE,FALSE,0,0,1,12,3,-0.505415162454874,0,-0.408088235294118,-0.0180505415162455,0.924107142857143,-0.191335740072202
100021,"A",2020,0,0,,1,1,,14,2,0,0,5,1,35,39,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,,2,0,0,,TRUE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,35,25,FALSE,39,FALSE,FALSE,FALSE,FALSE,1,0,1,12.59375,1,-0.501700680272109,0,0,0.952380952380952,-1,-0.158163265306122
100022,"A",2022,0,1,13,1,,,13,7,1,0,5,5,36,36,,0,0,0,0,1,6,1,0,0,0,0,0,2,0,0,1,20,"A_2022",0,1,1,1,0,,0,0,0,0,1,1,0,0,0,0,0,1,,,7,0,0,0,FALSE,FALSE,TRUE,TRUE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,36,23,FALSE,36,FALSE,FALSE,TRUE,FALSE,0,1,1,13,2.07589285714286,0.494584837545126,0,0.591911764705882,-0.0180505415162455,0,0.808664259927798
100023,"A",2020,0,1,13,1,,19,15,3,0,0,5,8,38,35,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0,"A_2020",0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,,19,3,0,0,2,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,38,20,FALSE,35,FALSE,FALSE,TRUE,FALSE,0,1,0,13,2,0.498299319727891,0,0.40625,-0.0476190476190476,0,0.841836734693878
100024,"A",2020,1,1,12,1,3,10,14,3,0,1,11,11,34,38,1,0,1,1,1,1,6,1,0,0,2,1,2,4,0,0,0,0,"A_2020",1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,3,10,3,2,2,2,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,34,24,FALSE,38,FALSE,FALSE,TRUE,FALSE,0,0,0,12,3,0.498299319727891,0,-0.59375,-0.0476190476190476,1,-0.158163265306122
100025,"A",2022,0,1,11,1,2,,12,9,1,0,11,4,45,40,0,0,1,1,1,1,6,1,0,0,0,0,0,3,0,0,0,0,"A_2022",0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,,9,0,0,1,FALSE,FALSE,FALSE,TRUE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,45,28,FALSE,40,FALSE,FALSE,TRUE,FALSE,0,0,1,11,2,0.494584837545126,0,-1.40808823529412,-0.0180505415162455,-0.0758928571428572,-0.191335740072202
100026,"B",2018,1,0,11,0,1,,15,7,1,1,5,7,35,37,0,1,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0,"B_2018",1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,,7,0,0,4,FALSE,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,35,22,FALSE,37,FALSE,TRUE,TRUE,FALSE,0,0,1,11,1,-0.424242424242424,-0.442424242424242,-1.40123456790123,-0.0181818181818182,-0.944,-0.242424242424242
100027,"A",2020,0,1,12,1,,,14,4,0,0,5,,42,,,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,1,8,"A_2020",0,1,1,0,0,,0,1,0,0,1,1,1,1,0,0,0,1,,,4,0,0,2,FALSE,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,42,,FALSE,,FALSE,FALSE,TRUE,FALSE,0,1,1,12,2,0.498299319727891,0,-0.59375,-0.0476190476190476,0,0.841836734693878
100028,"A",2020,0,1,14,1,2,,16,3,0,0,7,5,46,48,0,0,1,1,1,1,7,1,1,0,0,0,0,3,0,0,1,8,"A_2020",0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,,3,0,0,2,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,46,32,FALSE,48,FALSE,FALSE,FALSE,FALSE,0,0,1,14,2,0.498299319727891,0,1.40625,-0.0476190476190476,0,-0.158163265306122
100029,"A",2022,0,1,12,1,2,,13,6,1,0,8,6,32,32,,0,1,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0,"A_2022",0,1,1,1,0,,0,1,0,0,1,1,0,0,0,0,0,0,2,,6,0,0,1,FALSE,FALSE,FALSE,TRUE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,FALSE,32,19,FALSE,32,FALSE,FALSE,FALSE,FALSE,0,0,1,12,2,0.494584837545126,0,-0.408088235294118,-0.0180505415162455,-0.0758928571428572,-0.191335740072202
