applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked,cohort,private_history_g6_g7_current,g6_to_current_exit,g6_to_g7_nonprivate_start,earlier_private_to_current_exit,g6_private_g7_nonprivate_current_private,current_exit_schooling_status,age_change
100505,A,2020,1,1,15,1,2,5,18,6,0,0,,,65.0,,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,40.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,3.0
100509,A,2020,1,1,14,1,1,19,17,8,1,0,8.0,9.0,38.0,37.0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,3.0
100512,A,2020,1,0,13,1,2,17,15,4,0,0,5.0,9.0,33.0,43.0,0,0,1,0,0,1,5,0,0,0,1,1,1,3,0,0,0,0.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,2.0
100520,A,2020,1,1,12,1,2,4,14,7,1,0,0.0,2.0,55.0,54.0,1,0,1,1,0,1,7,1,1,0,0,1,1,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100532,B,2018,1,1,11,1,2,,16,7,1,1,5.0,,62.0,,,0,1,0,0,1,8,1,1,1,1,1,1,6,0,0,0,0.0,B2018,1->0->0,1,1,1,0,enrolled_nonprivate,5.0
100537,A,2020,1,1,11,1,1,19,14,4,1,0,7.0,4.0,31.0,31.0,0,0,1,1,0,0,9,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100560,A,2020,1,1,13,1,,6,16,4,0,0,11.0,7.0,38.0,38.0,0,0,1,1,0,0,7,1,1,0,0,0,0,2,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100569,A,2022,1,0,12,1,3,,13,8,1,0,9.0,8.0,35.0,38.0,,0,1,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.0,A2022,1->0->0,1,1,1,0,enrolled_nonprivate,1.0
100570,A,2020,1,0,16,1,,6,20,5,1,0,5.0,5.0,44.0,45.0,0,0,1,1,0,0,7,1,1,0,0,0,0,2,1,1,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,4.0
100572,A,2020,1,1,14,1,2,17,16,4,0,0,2.0,0.0,35.0,42.0,0,0,1,1,0,0,7,1,1,0,0,0,0,3,0,0,1,40.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,2.0
100579,A,2020,1,0,13,1,2,4,15,4,0,0,3.0,,33.0,,,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0,A2020,1->1->0,1,0,1,0,enrolled_nonprivate,2.0
100592,A,2020,1,0,13,1,2,19,15,3,0,0,11.0,9.0,48.0,39.0,0,0,1,0,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,2.0
100610,A,2020,1,1,14,1,3,,16,3,0,1,,,,,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,1,8.0,A2020,1->0->0,1,1,1,0,not_currently_enrolled,2.0
100621,A,2020,1,1,13,1,,12,16,3,0,0,5.0,5.0,40.0,45.0,,0,1,1,0,0,7,1,1,0,0,0,0,2,0,0,1,40.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
100622,A,2020,1,1,14,1,1,5,17,3,0,0,8.0,5.0,45.0,47.0,0,0,1,0,0,1,8,1,1,1,1,1,1,4,0,0,1,18.0,A2020,1->0->0,1,1,1,0,enrolled_nonprivate,3.0
100623,A,2020,1,1,12,1,2,6,15,3,0,0,6.0,5.0,33.0,40.0,0,0,1,1,0,0,7,1,1,0,0,0,0,3,0,0,0,0.0,A2020,1->1->0,1,0,1,0,not_currently_enrolled,3.0
