applicant_id,cohort,selected,years_in_school,highest_grade,total_repeats,years_minus_highest_grade_plus5,age_at_application,age_at_survey,age_change,exceeds_4_years,exceeds_age_change_plus1
100398,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100403,A2020,0,2,7,0,0.0,13,17,4.0,0,0
100408,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100410,A2020,0,4,6,1,3.0,11,14,3.0,0,0
100412,A2020,0,4,8,0,1.0,14,17,3.0,0,0
100413,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100418,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100419,A2020,0,5,10,0,0.0,14,15,1.0,1,1
100421,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100423,A2020,0,3,7,0,1.0,13,15,2.0,0,0
100424,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100430,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100435,A2020,0,4,8,0,1.0,15,18,3.0,0,0
100439,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100447,A2020,0,1,6,0,0.0,14,16,2.0,0,0
100452,A2020,0,4,7,1,2.0,14,16,2.0,0,1
100460,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100463,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100466,A2020,0,4,8,0,1.0,15,18,3.0,0,0
100468,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100470,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100475,A2020,0,1,5,0,1.0,13,15,2.0,0,0
100477,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100478,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100479,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100480,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100485,A2020,0,1,5,0,1.0,13,15,2.0,0,0
100488,A2020,0,1,6,0,0.0,15,17,2.0,0,0
100499,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100504,A2020,0,4,7,0,2.0,14,16,2.0,0,1
100510,A2020,0,1,6,0,0.0,16,17,1.0,0,0
100516,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100517,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100523,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100525,A2020,0,4,7,1,2.0,11,14,3.0,0,0
100526,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100527,A2020,0,3,7,0,1.0,12,14,2.0,0,0
100528,A2020,0,4,8,0,1.0,13,16,3.0,0,0
100529,A2020,0,3,5,2,3.0,12,15,3.0,0,0
100530,A2020,0,1,6,0,0.0,12,15,3.0,0,0
100533,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100539,A2020,0,3,7,1,1.0,12,14,2.0,0,0
100541,A2020,0,4,6,1,3.0,13,15,2.0,0,1
100543,A2020,0,4,7,1,2.0,14,16,2.0,0,1
100544,A2020,0,5,9,0,1.0,13,15,2.0,1,1
100546,A2020,0,4,8,0,1.0,15,18,3.0,0,0
100547,A2020,0,4,7,1,2.0,12,14,2.0,0,1
100553,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100554,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100556,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100558,A2020,0,0,5,0,0.0,14,16,2.0,0,0
100566,A2020,0,4,8,0,1.0,12,15,3.0,0,0
100571,A2020,0,4,8,0,1.0,12,14,2.0,0,1
100573,A2020,0,3,7,0,1.0,13,16,3.0,0,0
100580,A2020,0,4,8,0,1.0,11,14,3.0,0,0
100581,A2020,0,4,9,0,0.0,14,17,3.0,0,0
100589,A2020,0,4,8,0,1.0,13,15,2.0,0,1
100591,A2020,0,4,5,3,4.0,11,14,3.0,0,0
100594,A2020,0,4,8,0,1.0,11,13,2.0,0,1
100598,A2020,0,4,8,0,1.0,13,15,2.0,0,1
