"cohort","outcome","exposure","baseline_adjusted","n","n_control","n_selected","df","reduced_form","reduced_form_se","first_stage","first_stage_se","first_stage_F","estimate","se","ci_low","ci_high","p_value","ar_p_zero","ar_type","ar_low","ar_high","ar_set","var_rf","var_fs","cov_rf_fs","inference_status","holm_ar_p"
"A_2022","years_in_school","in_private_now",FALSE,274,129,145,272,0.0293504410585407,0.0545626379976836,0.154878374766105,0.0529919583038417,8.54204052053982,0.189506385916467,0.345927221259402,-0.49152878402983,0.870541555862765,0.584263706553023,0.59107078814134,"bounded",-0.736459438163921,1.10645601297023,"[-0.736459, 1.106456]",0.00297708146526627,0.00280814764487609,0.000547402579341984,"Exploratory; valid-IV assumptions required",1
"A_2022","years_in_school","in_private_now",TRUE,274,129,145,267,0.0415709355504946,0.0542614740183846,0.155421970440643,0.0541554902360776,8.23644567150242,0.267471422686478,0.343228802837018,-0.408307862116217,0.943250707489174,0.436504812830992,0.444280197405394,"bounded",-0.60045685072693,1.26147261694504,"[-0.600457, 1.261473]",0.00294430756264782,0.0029328171227099,0.000576516589782341,"Exploratory; valid-IV assumptions required",1
"A_2022","married_or_cohab","in_private_now",FALSE,273,128,145,271,0,0,0.149730603448276,0.0529988832865392,7.98155870029177,0,,,,,,"not reported",,,"Not reported: no observed outcome variation",0,0.0028088816296202,0,"Not reported: no observed outcome variation",
"A_2022","married_or_cohab","in_private_now",TRUE,273,128,145,266,0,0,0.148438891280781,0.0541575675040411,7.51237232830197,0,,,,,,"not reported",,,"Not reported: no observed outcome variation",0,0.00293304211795477,0,"Not reported: no observed outcome variation",
"A_2022","has_child","in_private_now",FALSE,272,127,145,270,0,0,0.15237578061363,0.0531945068240997,8.20537272328222,0,,,,,,"not reported",,,"Not reported: no observed outcome variation",0,0.00282965555625919,0,"Not reported: no observed outcome variation",
"A_2022","has_child","in_private_now",TRUE,272,127,145,265,0,0,0.151309732979179,0.0543414837698955,7.75301715265063,0,,,,,,"not reported",,,"Not reported: no observed outcome variation",0,0.00295299685831382,0,"Not reported: no observed outcome variation",
"A_2022","working","in_private_now",FALSE,274,129,145,272,-0.0240577385725742,0.0332421090862386,0.154878374766105,0.0529919583038417,8.54204052053982,-0.155333103210218,0.213574874174344,-0.575803051195355,0.265136844774918,0.467667447924032,0.46986403879264,"bounded",-0.780962618429016,0.361980678594298,"[-0.780963, 0.361981]",0.00110503781650139,0.00280814764487609,-0.000253105113325174,"Exploratory; valid-IV assumptions required",1
"A_2022","working","in_private_now",TRUE,274,129,145,267,-0.00869008168136838,0.0309585156211274,0.155421970440643,0.0541554902360776,8.23644567150242,-0.0559128265890002,0.197480195355194,-0.444729336382905,0.332903683204905,0.777295573068012,0.779157238252266,"bounded",-0.571120174218936,0.49841711784415,"[-0.571120, 0.498417]",0.000958429689463591,0.0029328171227099,-0.00022850578702203,"Exploratory; valid-IV assumptions required",1
"A_2022","hours_worked","in_private_now",FALSE,274,129,145,272,-0.195028067361667,0.844462865821213,0.154878374766105,0.0529919583038417,8.54204052053982,-1.25923369002416,5.39613580059936,-11.8827349242873,9.36426754423901,0.815658624053392,0.817527849107363,"bounded",-14.4852622212692,14.3617092370645,"[-14.485262, 14.361709]",0.713117531750976,0.00280814764487609,-0.0075843946973226,"Exploratory; valid-IV assumptions required",1
"A_2022","hours_worked","in_private_now",TRUE,274,129,145,267,0.00524545921298757,0.781103416562492,0.155421970440643,0.0541554902360776,8.23644567150242,0.0337497922469775,5.02724553104095,-9.86433673607862,9.93183632057257,0.994648553940114,0.994646902911296,"bounded",-11.9711401477146,15.4509425315636,"[-11.971140, 15.450943]",0.610122547365599,0.0029328171227099,-0.00552882375552405,"Exploratory; valid-IV assumptions required",1
