"cohort","outcome","exposure","baseline_adjusted","n","n_control","n_selected","df","reduced_form","reduced_form_se","first_stage","first_stage_se","first_stage_F","estimate","se","ci_low","ci_high","p_value","ar_p_zero","ar_type","ar_low","ar_high","ar_set","var_rf","var_fs","cov_rf_fs","inference_status","holm_ar_p"
"A_2020","years_in_school","started_g7_private",FALSE,1161,571,590,1159,0.056873163347086,0.052027359385938,0.168004393125351,0.024589333105209,46.681819586058,0.33852188201205,0.293474644414281,-0.23727916005213,0.914322924076231,0.24894460195865,0.274559693642628,"bounded",-0.309656930832603,0.895997900350497,"[-0.309657, 0.895998]",0.00270684612467355,0.000604635302558925,0.000509789228762485,"Exploratory; valid-IV assumptions required",0.777969525058148
"A_2020","years_in_school","started_g7_private",TRUE,1161,571,590,1154,0.0367360165178557,0.0501586741082828,0.163200202325,0.024388257640553,44.7795615572351,0.225097861365998,0.296256991021175,-0.356164813406892,0.806360536138888,0.447525698851348,0.464075569309805,"bounded",-0.437128560903587,0.783280237434519,"[-0.437129, 0.783280]",0.00251589258830092,0.00059478711074199,0.000462875697669239,"Exploratory; valid-IV assumptions required",1
"A_2020","married_or_cohab","started_g7_private",FALSE,1160,571,589,1158,-0.00727285701967471,0.00644444925359114,0.167742530157379,0.0246032479523851,46.4837858727801,-0.0433572631392359,0.0385364918600714,-0.118966426056964,0.0322518997784917,0.260781383078979,0.259323175019383,"bounded",-0.124738591708597,0.0332317722700996,"[-0.124739, 0.033232]",4.15309261821115e-05,0.000605319809806542,-1.01810456890284e-05,"Exploratory; valid-IV assumptions required",0.777969525058148
"A_2020","married_or_cohab","started_g7_private",TRUE,1160,571,589,1153,-0.00586068074060152,0.00657005198979836,0.163019278771909,0.0244064904805997,44.613599608996,-0.0359508444936845,0.0403696344553451,-0.11515701947537,0.0432553304880009,0.373360848163056,0.37256319608007,"bounded",-0.120852864466737,0.0449196054394901,"[-0.120853, 0.044920]",4.31655831486534e-05,0.000595676777579606,-8.6998625861273e-06,"Exploratory; valid-IV assumptions required",1
"A_2020","has_child","started_g7_private",FALSE,1160,571,589,1158,-0.00950585604738362,0.009792723134451,0.167742530157379,0.0246032479523851,46.4837858727801,-0.0566693255339898,0.0581776429390418,-0.170814715288709,0.0574760642207291,0.330223258092478,0.331897360702808,"bounded",-0.177555622828694,0.0608426671459531,"[-0.177556, 0.060843]",9.58974263880118e-05,0.000605319809806542,-2.29922569308401e-05,"Exploratory; valid-IV assumptions required",0.777969525058148
"A_2020","has_child","started_g7_private",TRUE,1160,571,589,1153,-0.00766329968245394,0.00970715046897395,0.163019278771909,0.0244064904805997,44.613599608996,-0.0470085485605426,0.0593467795242324,-0.163448329772717,0.0694312326516322,0.428465651850623,0.430011968939319,"bounded",-0.169985858639015,0.0736526327142885,"[-0.169986, 0.073653]",9.42287702273011e-05,0.000595676777579606,-2.06970322954639e-05,"Exploratory; valid-IV assumptions required",1
"A_2020","working","started_g7_private",FALSE,1161,571,590,1159,-0.0434355427587645,0.0220092307825283,0.168004393125351,0.024589333105209,46.681819586058,-0.258538136716202,0.128831202604191,-0.511306619860379,-0.00576965357202536,0.0450031328234798,0.0486741788454802,"bounded",-0.529551971085055,-0.00159885167707962,"[-0.529552, -0.001599]",0.000484406239638592,0.000604635302558925,-0.000108977177680535,"Exploratory; valid-IV assumptions required",0.194696715381921
"A_2020","working","started_g7_private",TRUE,1161,571,590,1154,-0.0378790478015577,0.0208120635527233,0.163200202325,0.024388257640553,44.7795615572351,-0.232101720842996,0.126374129610073,-0.480050518088414,0.0158470764024212,0.0665225479063489,0.0690099676372553,"bounded",-0.499844415137167,0.0191124506724959,"[-0.499844, 0.019112]",0.000433141989322594,0.00059478711074199,-8.57874277454052e-05,"Exploratory; valid-IV assumptions required",0.276039870549021
"A_2020","hours_worked","started_g7_private",FALSE,1161,571,590,1159,-1.51875983258624,0.663397973047024,0.168004393125351,0.024589333105209,46.681819586058,-9.04000070672601,3.89002612763906,-16.6722822021916,-1.40771921126044,0.0203035107118905,0.0222373179559964,"bounded",-17.3130147393469,-1.36601252480971,"[-17.313015, -1.366013]",0.4400968706429,0.000604635302558925,-0.00345089454092538,"Exploratory; valid-IV assumptions required",0.111186589779982
"A_2020","hours_worked","started_g7_private",TRUE,1161,571,590,1154,-1.34453043256319,0.625760306840105,0.163200202325,0.024388257640553,44.7795615572351,-8.23853410356481,3.80876533215722,-15.7114147161736,-0.765653490956026,0.0307424682166088,0.0318709198402375,"bounded",-16.3997380356859,-0.752365388769894,"[-16.399738, -0.752365]",0.391575961616622,0.00059478711074199,-0.00276569231609879,"Exploratory; valid-IV assumptions required",0.159354599201187
