"estimate","se","ci_low","ci_high","p_value","n","df","control_mean","selected_mean","n_control","n_selected","outcome","inference_status","specification","cohort"
0.14957138328013,0.0274772809389868,0.0956602115461256,0.203482555014135,6.38283449454311e-08,1163,1151,,,573,590,"in_private_now","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
0.187661077348952,0.0552398440750401,0.0792812375256701,0.296040917172233,0.000703582866370604,1176,1174,7.47169811320755,7.65935919055649,583,593,"highest_grade","HC2/t approximation","Primary observed outcome","A_2020"
0.190287025608043,0.0552322451308034,0.0819219994731043,0.298652051742981,0.000590771119551103,1175,1173,7.46907216494845,7.65935919055649,582,593,"highest_grade","HC2/t approximation","Exclude declining-age records","A_2020"
0.18142087699784,0.054153631252712,0.0751715145845481,0.287670239411132,0.00083361116698711,1169,1167,7.46034482758621,7.64176570458404,580,589,"highest_grade","HC2/t approximation","Exclude schooling contradictions","A_2020"
0.188568812549622,0.055287371287148,0.0800956295335207,0.297041995565724,0.000670005382039436,1175,1173,7.47079037800687,7.65935919055649,582,593,"highest_grade","HC2/t approximation","Exclude work-hours contradiction","A_2020"
0.187661077348952,0.0552869432646445,0.0791888295417121,0.296133325156191,0.000710987340616072,1176,1174,7.47169811320755,7.65935919055649,583,593,"highest_grade","HC3/t approximation","HC3 standard errors","A_2020"
0.170438066772387,0.0539505138890316,0.0645869371604931,0.276289196384282,0.00162301500222562,1176,1164,,,583,593,"highest_grade","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
-0.0645451150632498,0.0275005142416892,-0.118500996629943,-0.0105892334965563,0.01908880556522,1171,1169,0.246977547495682,0.182432432432432,579,592,"total_repeats","HC2/t approximation","Primary observed outcome","A_2020"
-0.0632423080519955,0.0274969811589231,-0.117191305598112,-0.00929331050587894,0.0216254162924911,1170,1168,0.245674740484429,0.182432432432432,578,592,"total_repeats","HC2/t approximation","Exclude declining-age records","A_2020"
-0.0679917800453515,0.0274734460745128,-0.121894890537304,-0.0140886695533987,0.0134722720748475,1164,1162,0.248263888888889,0.180272108843537,576,588,"total_repeats","HC2/t approximation","Exclude schooling contradictions","A_2020"
-0.064972411858224,0.0275246062052368,-0.11897560966535,-0.0109692140510977,0.018412899472903,1170,1168,0.247404844290657,0.182432432432432,578,592,"total_repeats","HC2/t approximation","Exclude work-hours contradiction","A_2020"
-0.0645451150632498,0.0275240714401774,-0.118547215744266,-0.0105430143822335,0.0191914655937274,1171,1169,0.246977547495682,0.182432432432432,579,592,"total_repeats","HC3/t approximation","HC3 standard errors","A_2020"
-0.064832789705351,0.0275484881441055,-0.118883279185718,-0.0107823002249835,0.0187686015556039,1171,1159,,,579,592,"total_repeats","HC2/t approximation","Baseline adjustment with assignment interactions","A_2020"
