effect,se,low,high,p,control_mean,treatment_mean,n,missing,outcome,estimator,holm_primary_p
-0.05042855709869841,0.018787928049224925,-0.08725221941930812,-0.013604894778088697,0.007272674610807141,,,1610,,ever_repeated,covariate_adjusted_FE_HC2,
0.07983823982524907,0.047054389747966816,-0.012386669395274108,0.17206314904577225,0.08974914474879823,3.4991245258765975,3.5789627657018466,1610,8.0,years_in_school,cohort_weighted_HC2,
0.07983823982524907,0.04716317535972549,-0.012599885276357248,0.17227636492685539,0.09049186088805053,3.4991245258765975,3.5789627657018466,1610,8.0,years_in_school,cohort_weighted_HC3,
0.07990652625763468,0.046984361227382566,-0.012181129584652742,0.17199418209992212,0.08899844296138079,,,1610,,years_in_school,cohort_FE_HC2,
0.04008473122688609,0.045111916383716436,-0.04833300015877809,0.12850246261255027,0.37423856187300286,,,1610,,years_in_school,covariate_adjusted_FE_HC2,
-0.009671838340431227,0.005735856124113819,-0.02091390976419751,0.0015702330833350549,0.09175601690592065,0.01808710734249975,0.008415269002068522,1607,11.0,married_or_cohab,cohort_weighted_HC2,
-0.009671838340431227,0.005750483822622786,-0.020942579526451795,0.0015989028455893391,0.09258487360635646,0.01808710734249975,0.008415269002068522,1607,11.0,married_or_cohab,cohort_weighted_HC3,
-0.009665378994636027,0.005732143801695126,-0.02090017440016267,0.0015694164108906172,0.09176272177513978,,,1607,,married_or_cohab,cohort_FE_HC2,
-0.00832462330204079,0.00592606166486349,-0.01993949073533638,0.0032902441312548016,0.1600962253223109,,,1607,,married_or_cohab,covariate_adjusted_FE_HC2,
-0.010169568086462882,0.008062866858771535,-0.025972496741796254,0.005633360568870489,0.2072064041897709,0.03191938350898321,0.02174981542252033,1606,12.0,has_child,cohort_weighted_HC2,
-0.010169568086462882,0.00807811961743397,-0.026002391599439508,0.0056632554265137434,0.20806541189700314,0.03191938350898321,0.02174981542252033,1606,12.0,has_child,cohort_weighted_HC3,
-0.01019320211536289,0.00807031803381622,-0.02601073480542635,0.00562433057470057,0.20657179360703748,,,1606,,has_child,cohort_FE_HC2,
-0.007388416045998653,0.00812246826327265,-0.02330816130758221,0.008531329215584903,0.3630192799670951,,,1606,,has_child,covariate_adjusted_FE_HC2,
-0.034119603974598955,0.01826988690964596,-0.06992792431912384,0.001688716369925923,0.06182729015298305,0.17881475037995753,0.14469514640535858,1610,8.0,working,cohort_weighted_HC2,
-0.034119603974598955,0.01830478302185197,-0.06999631944224809,0.0017571114930501758,0.062325629173644634,0.17881475037995753,0.14469514640535858,1610,8.0,working,cohort_weighted_HC3,
-0.03417099557298822,0.018262129455979652,-0.0699641115877154,0.0016221204417389626,0.06132571906204042,,,1610,,working,cohort_FE_HC2,
-0.024136634037646577,0.01736703811643352,-0.05817540326398968,0.009902135188696523,0.16459093924122858,,,1610,,working,covariate_adjusted_FE_HC2,
-1.1408064127015018,0.5412383444145676,-2.201614074806111,-0.07999875059689288,0.035050814257931,4.4941252860391705,3.3533188733376686,1610,8.0,hours_worked,cohort_weighted_HC2,
-1.1408064127015018,0.5422101475430378,-2.203518773937976,-0.07809405146502812,0.03537904833922924,4.4941252860391705,3.3533188733376686,1610,8.0,hours_worked,cohort_weighted_HC3,
-1.1427117034379468,0.5412445335550784,-2.203531496035052,-0.08189191084084158,0.034749371859193315,,,1610,,hours_worked,cohort_FE_HC2,
-0.861053959104206,0.5134875094988125,-1.8674709842330195,0.14536306602460758,0.09356708330605497,,,1610,,hours_worked,covariate_adjusted_FE_HC2,
