effect,se,low,high,p,group,n,outcome
0.027505153380556285,0.01405042218511537,-3.3168069851652326e-05,0.05504347483096422,0.05027657529155357,female,1610,finished_g6
0.014100988527207453,0.01949281284216305,-0.024104222600810923,0.05230619965522583,0.4694377091262653,male,1610,finished_g6
-0.013404164853348832,0.02402881844951139,-0.06049978360544144,0.03369145389874378,0.5769556702024554,male_minus_female,1610,finished_g6
0.03179554835840959,0.021302451012256786,-0.009956488408041385,0.07354758512486056,0.13554794842121726,female,1610,finished_g7
0.011510499597165807,0.025810180785862308,-0.03907652517759064,0.062097524371922244,0.6556207840215131,male,1610,finished_g7
-0.02028504876124378,0.033465801220477244,-0.08587681386715396,0.0453067163446664,0.5444200450589023,male_minus_female,1610,finished_g7
0.08620321637993522,0.027531107397756688,0.03224323742582935,0.1401631953340411,0.001741406569649824,female,1610,finished_g8
0.07338570510269382,0.031134366212026185,0.01236346864564343,0.13440794155974423,0.018420053839531644,male,1610,finished_g8
-0.0128175112772414,0.04156092676988051,-0.09427543091031157,0.06864040835582877,0.7577757584548668,male_minus_female,1610,finished_g8
-0.03467756351544976,0.024311145953505038,-0.08232653400721499,0.01297140697631547,0.15375119393232292,female,1598,repeats_g6
-0.06766448422494273,0.030977533616144803,-0.1283793344424637,-0.006949634007421761,0.028939600260466297,male,1598,repeats_g6
-0.03298692070949297,0.03937815900358987,-0.11016669413401864,0.044192852715032704,0.4022015400720151,male_minus_female,1598,repeats_g6
-0.03805010978259007,0.025021163202256187,-0.08709068851030974,0.010990468945129596,0.1283308552613283,female,1610,ever_repeated
-0.06898644141935979,0.028453040435835714,-0.1247533759242581,-0.013219506914461485,0.015326449385846715,male,1610,ever_repeated
-0.030936331636769725,0.03788976270758688,-0.1051989019264068,0.043326238652867353,0.41422417632522174,male_minus_female,1610,ever_repeated
0.153321796624321,0.05949151214420467,0.0367205754358558,0.26992301781278616,0.009960298545137943,female,1610,years_in_school
0.009880411973352154,0.07435538046065292,-0.13585345578629682,0.15561427973300113,0.8942875502130766,male,1610,years_in_school
-0.14344138465096884,0.09522585059033338,-0.3300806222052094,0.04319785290327169,0.1319829409104656,male_minus_female,1610,years_in_school
-0.014505826839581204,0.010553710115140079,-0.03519071856853126,0.006179064889368849,0.1692937921879408,female,1607,married_or_cohab
-0.002532485151798366,0.0025324851517983596,-0.0074960648407054655,0.0024310945371087338,0.3173105078629128,male,1607,married_or_cohab
0.011973341687782838,0.010853307248875302,-0.009298749633159664,0.03324543300872534,0.2699413962079566,male_minus_female,1607,married_or_cohab
-0.01999365625496371,0.014587673152627455,-0.0485849702523546,0.008597657742427184,0.1705041424690127,female,1606,has_child
0.002241079682952006,0.005525841350047552,-0.008589370347423088,0.013071529713327099,0.6850633356406697,male,1606,has_child
0.022234735937915716,0.015599202884563788,-0.00833913990336179,0.05280861177919322,0.15404842090768386,male_minus_female,1606,has_child
-0.027753464369081722,0.01996899528032956,-0.0668919759259769,0.011385047187813462,0.16458118037129635,female,1610,working
-0.04803273070670906,0.03019403701242982,-0.10721195579893925,0.011146494385521129,0.11165417076329481,male,1610,working
-0.02027926633762734,0.03620000888969237,-0.09122998000145222,0.05067144732619754,0.5753426246409925,male_minus_female,1610,working
-1.5791877886923307,0.5225805772223703,-2.6034268990683005,-0.5549486783163606,0.0025119106731798153,female,1610,hours_worked
-0.9813191829989758,0.9439717141582833,-2.831469745173699,0.8688313791757472,0.298542424912874,male,1610,hours_worked
0.5978686056933549,1.0789685152130222,-1.516870824576768,2.712608035963478,0.5795027031121653,male_minus_female,1610,hours_worked
