applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood
100239,A,2020,0,0,12,1,2,19
100240,A,2020,0,0,13,1,2,
100241,A,2020,0,1,12,1,3,16
100242,A,2020,0,1,13,1,2,
100243,A,2020,1,1,13,1,2,12
100244,A,2020,0,0,12,1,2,8
100245,A,2022,1,1,12,1,2,
100246,B,2018,0,0,12,0,2,
100247,A,2020,1,1,14,1,2,11
100248,A,2020,1,1,14,1,1,19
100249,A,2020,1,1,13,1,2,19
100250,A,2022,0,0,12,1,3,
100251,A,2020,1,1,11,1,2,4
100252,A,2020,1,0,13,1,1,19
100253,A,2020,0,1,13,1,2,5
100254,A,2020,1,1,13,1,3,16
100255,A,2020,1,0,15,1,2,5
100256,A,2020,0,1,12,1,2,17
100257,A,2020,1,0,12,1,2,11
100258,A,2020,0,0,,1,2,6
100259,A,2020,0,0,14,1,1,
100260,A,2020,0,0,12,1,1,19
100261,A,2020,0,0,11,1,,7
100262,A,2020,1,0,12,1,2,4
100263,A,2020,0,1,11,1,,11
100264,A,2020,1,1,13,1,3,
100265,A,2020,1,1,13,1,2,
100266,B,2018,1,0,11,1,3,
100267,A,2020,1,1,,1,2,
100268,A,2020,0,0,12,1,2,16
100269,B,2018,1,0,11,1,2,
100270,A,2020,0,0,12,1,2,7
100271,A,2020,1,0,12,1,3,4
100272,A,2020,1,0,13,1,1,
100273,A,2020,1,0,12,1,1,5
100274,A,2020,1,1,14,1,3,11
100275,A,2020,0,1,13,1,,18
100276,A,2022,0,0,12,1,3,
100277,A,2022,0,0,16,1,2,
100278,A,2022,1,1,12,1,2,
100279,A,2020,0,1,12,1,2,
100280,A,2020,0,0,12,1,2,17
100281,A,2020,0,0,13,1,,15
100282,A,2020,1,1,14,1,2,
100283,A,2020,0,0,14,1,2,17
100284,A,2020,0,1,16,1,2,5
100285,A,2022,1,0,12,1,2,
100286,A,2022,1,0,12,1,2,
100287,B,2018,1,1,11,0,2,
100288,A,2020,0,0,12,1,2,17
100289,A,2020,0,0,11,1,,19
100290,A,2022,1,0,11,1,,
100291,A,2020,1,1,14,1,3,17
100292,A,2022,0,1,13,1,2,
100293,B,2018,1,0,11,1,2,
100294,A,2020,1,0,12,1,,16
100295,A,2020,0,0,14,1,3,18
100296,A,2020,1,1,11,1,,5
100297,A,2020,0,0,10,1,2,
100298,B,2018,0,0,11,0,2,
100299,A,2020,1,1,13,1,2,19
100300,A,2020,0,0,13,1,2,4
100301,A,2020,0,0,13,1,2,4
100302,B,2018,1,1,13,1,3,
100303,A,2020,1,1,11,1,2,19
100304,A,2022,1,1,12,1,,
100305,A,2022,1,0,12,1,2,
100306,A,2020,1,1,13,1,,
100307,A,2022,1,1,14,1,1,
100308,A,2020,0,1,15,1,3,16
100309,A,2020,1,1,14,1,2,5
100310,A,2020,1,0,13,1,2,
100311,A,2020,1,0,13,1,,16
100312,A,2022,1,0,13,1,,
100313,A,2020,0,0,12,1,2,15
100314,A,2020,0,1,14,1,1,8
100315,B,2018,1,0,10,0,1,
100316,A,2020,1,1,12,1,2,19
100317,A,2020,1,1,12,1,1,19
100318,A,2020,0,1,11,1,2,
100319,A,2020,0,0,14,1,2,17
100320,A,2020,1,0,11,1,1,18
100321,A,2020,1,0,13,1,2,
100322,A,2022,0,1,13,1,1,
100323,A,2020,0,0,15,1,2,19
100324,A,2020,1,1,13,1,2,
100325,A,2020,1,1,12,1,3,8
100326,A,2020,1,0,14,1,1,11
100327,A,2020,0,1,13,1,2,19
100328,A,2022,0,1,13,1,1,
100329,A,2020,0,1,,1,1,5
100330,A,2020,1,1,12,1,,
100331,A,2020,1,1,12,1,2,8
100332,A,2020,0,0,12,1,1,
100333,A,2022,1,0,12,1,2,
100334,A,2020,0,1,13,1,1,
100335,A,2020,0,1,,1,2,5
100336,A,2020,0,1,13,1,,5
100337,A,2020,1,0,15,1,,19
100338,A,2020,1,1,12,1,1,19
100339,A,2020,0,0,13,1,,8
100340,A,2022,0,0,,1,,
100341,A,2022,1,0,11,1,2,
100342,A,2022,0,1,11,1,2,
100343,A,2020,0,0,13,1,2,18
100344,A,2022,1,1,12,1,2,
100345,A,2020,1,0,13,1,2,18
100346,A,2020,0,0,11,1,2,
100347,A,2022,1,0,11,1,3,
100348,A,2020,0,1,11,1,2,4
100349,B,2018,0,1,13,0,2,
100350,A,2020,0,0,13,1,2,
100351,A,2020,0,0,13,1,,6
100352,A,2020,0,1,12,1,3,4
100353,A,2020,1,0,11,1,3,8
100354,B,2018,0,0,13,0,1,
100355,A,2020,0,1,13,1,2,5
100356,A,2022,0,0,11,1,3,
100357,A,2020,1,1,11,1,2,19
100358,A,2020,1,1,15,1,1,
100359,A,2020,0,0,14,1,1,19
100360,A,2022,0,1,12,1,,
100361,B,2018,0,1,11,0,2,
100362,A,2020,0,1,12,1,2,19
100363,B,2018,0,0,15,1,2,
100364,A,2020,0,0,11,1,2,19
100365,A,2020,0,0,11,1,2,4
100366,A,2020,0,0,11,1,,5
100367,A,2020,0,1,15,1,3,7
100368,A,2020,0,1,15,1,2,
100369,A,2020,0,0,14,1,2,5
100370,A,2020,0,1,13,1,,7
100371,A,2020,1,0,12,1,2,
100372,A,2020,1,0,13,1,2,19
100373,A,2020,0,0,13,1,,
100374,A,2020,1,1,11,1,2,18
100375,A,2020,0,1,12,1,3,
100376,A,2020,1,0,12,1,2,4
100377,A,2020,0,1,14,1,2,10
100378,A,2020,1,1,13,1,2,
100379,A,2020,0,0,12,1,,4
100380,A,2022,1,0,13,1,2,
100381,A,2020,0,0,12,1,,18
100382,A,2020,1,1,11,1,2,5
100383,A,2020,1,0,13,1,2,19
100384,A,2020,1,1,12,1,2,19
100385,A,2020,1,1,13,1,1,5
100386,A,2020,1,1,11,1,2,7
100387,A,2020,0,1,12,1,2,
100388,A,2020,0,1,11,1,2,19
100389,A,2020,1,0,12,1,2,7
100390,A,2020,1,0,12,1,2,
100391,A,2020,1,1,11,1,,19
100392,B,2018,0,1,13,0,2,
100393,A,2022,0,1,13,1,2,
100394,A,2020,0,1,13,1,1,19
100395,A,2020,1,0,12,1,2,7
100396,A,2022,1,1,12,1,3,
100397,A,2020,0,1,14,1,2,19
100398,A,2020,0,0,12,1,,15
100399,A,2022,0,0,16,1,2,
100400,A,2020,1,1,12,1,2,
100401,B,2018,1,0,12,1,2,
100402,A,2020,1,0,12,1,3,11
100403,A,2020,0,0,13,1,3,
100404,A,2020,1,0,14,1,1,19
100405,A,2020,1,0,12,1,3,7
100406,B,2018,0,0,14,0,,
100407,A,2022,1,1,12,1,2,
100408,A,2020,0,0,12,1,2,
100409,B,2018,0,0,15,0,,
100410,A,2020,0,1,11,1,1,19
100411,B,2018,0,1,13,0,1,
100412,A,2020,0,0,14,1,,17
100413,A,2020,0,0,13,1,2,19
100414,A,2020,1,1,13,1,2,
100415,A,2020,1,0,15,1,4,16
100416,A,2020,1,1,,1,3,
100417,B,2018,0,0,11,1,3,
100418,A,2020,0,1,12,1,2,11
100419,A,2020,0,0,14,1,2,5
100420,A,2020,1,0,14,1,2,5
100421,A,2020,0,0,11,1,,17
100422,A,2020,1,0,12,1,2,19
100423,A,2020,0,1,13,1,2,
100424,A,2020,0,0,12,1,3,19
100425,A,2020,1,0,12,1,3,10
100426,A,2022,0,0,14,1,1,
100427,A,2022,0,1,11,1,1,
100428,B,2018,1,0,13,0,2,
100429,A,2020,1,1,11,1,2,18
100430,A,2020,0,1,12,1,2,10
100431,A,2020,1,1,13,1,3,
100432,A,2020,1,1,11,1,,8
100433,A,2022,0,0,11,1,2,
100434,A,2020,1,1,12,1,2,18
100435,A,2020,0,0,15,1,,19
100436,A,2020,1,0,12,1,1,19
100437,A,2020,1,1,13,1,2,
100438,A,2020,1,0,12,1,2,19
100439,A,2020,0,0,11,1,2,19
100440,A,2022,1,1,15,1,1,
100441,A,2020,1,1,13,1,1,19
100442,A,2020,1,0,13,1,2,19
100443,A,2020,1,1,11,1,2,
100444,A,2020,1,1,12,1,1,19
100445,B,2018,0,1,12,1,2,
100446,A,2020,1,0,12,1,2,15
100447,A,2020,0,0,14,1,1,19
100448,A,2020,1,0,12,1,2,12
100449,A,2020,1,0,13,1,,12
100450,A,2020,1,0,11,1,2,19
100451,A,2020,1,0,12,1,2,
100452,A,2020,0,0,14,1,2,11
100453,A,2022,1,1,11,1,3,
100454,A,2022,0,1,13,1,2,
100455,A,2020,1,0,14,1,1,19
100456,A,2022,1,0,12,1,2,
100457,A,2022,1,0,12,1,,
100458,A,2020,1,0,11,1,2,
100459,A,2020,1,1,15,1,2,4
100460,A,2020,0,0,12,1,2,15
