applicant_id,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked
100935,14,3,0,0,3.0,5.0,39.0,37.0,0,1,1,1,1,1,7,1,1,0,1,1,1,4,0,0,0,0.0
100204,14,6,0,0,5.0,3.0,35.0,39.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101379,14,5,1,0,7.0,11.0,35.0,36.0,0,1,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0.0
100284,18,3,0,0,,,,,,0,0,0,0,0,7,1,1,0,0,0,0,3,0,0,1,40.0
100581,17,4,1,0,5.0,7.0,42.0,49.0,0,0,1,1,1,1,9,1,1,1,0,0,0,4,0,0,1,40.0
100426,15,7,1,0,3.0,3.0,45.0,45.0,,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100263,14,6,0,0,7.0,6.0,36.0,37.0,0,0,1,1,1,1,7,1,1,0,1,1,1,4,0,0,0,0.0
100012,14,6,0,0,5.0,,32.0,31.0,0,0,0,0,0,1,5,0,0,0,1,1,1,3,0,0,0,0.0
100189,13,6,0,0,5.0,5.0,43.0,53.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101292,12,7,1,0,3.0,1.0,32.0,43.0,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
101276,15,4,0,0,4.0,5.0,51.0,56.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,1,25.0
100060,17,8,1,0,5.0,5.0,50.0,36.0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0.0
100071,12,7,1,0,0.0,2.0,43.0,43.0,0,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100200,17,4,0,0,1.0,,42.0,,,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,0,0.0
100043,18,7,1,0,,2.0,,52.0,0,0,0,1,0,0,7,1,1,0,0,0,0,3,0,0,0,0.0
101013,15,4,0,0,,5.0,,42.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100757,15,4,0,0,11.0,7.0,34.0,39.0,1,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100933,13,2,0,0,11.0,10.0,31.0,34.0,1,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100677,14,7,1,0,5.0,5.0,32.0,36.0,,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,35.0
101208,17,4,0,0,2.0,6.0,40.0,42.0,0,0,1,0,0,1,7,1,1,0,1,1,1,4,0,0,0,0.0
101412,19,3,0,0,5.0,5.0,42.0,45.0,0,0,1,1,0,0,7,1,1,0,0,0,0,2,0,0,0,0.0
101381,14,3,0,0,8.0,9.0,34.0,41.0,0,0,0,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101010,15,6,1,0,10.0,10.0,39.0,45.0,0,0,1,1,1,1,9,1,1,1,0,0,0,6,0,0,1,40.0
101275,14,7,0,1,2.0,5.0,41.0,44.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100638,16,3,0,0,4.0,,37.0,,,0,0,0,0,1,9,1,1,1,1,1,1,6,0,0,0,0.0
101418,16,3,0,0,6.0,,33.0,31.0,,0,1,0,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0
100330,15,4,1,0,5.0,,44.0,40.0,0,0,1,1,1,1,5,0,0,0,0,0,0,3,0,0,0,0.0
101134,14,6,1,1,5.0,11.0,38.0,45.0,0,0,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0.0
100351,15,4,0,0,2.0,6.0,38.0,47.0,0,0,1,0,0,1,7,1,1,0,0,0,0,4,0,0,0,0.0
100354,17,6,1,1,7.0,,34.0,,,0,0,0,0,1,9,1,1,1,0,0,0,6,0,0,0,0.0
100009,15,3,0,0,5.0,3.0,40.0,42.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100862,17,7,1,0,5.0,7.0,35.0,36.0,0,0,0,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100051,15,3,0,0,11.0,8.0,42.0,46.0,0,0,1,1,1,1,8,1,1,1,0,1,1,5,0,0,0,0.0
101401,15,3,0,0,9.0,6.0,40.0,35.0,1,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100147,15,5,0,0,7.0,,38.0,,,0,0,0,0,0,8,1,1,1,0,0,0,3,0,0,1,40.0
100878,18,5,1,0,11.0,7.0,39.0,38.0,0,0,1,1,1,1,9,1,1,1,1,1,1,5,0,0,0,0.0
100037,12,7,1,0,11.0,8.0,35.0,46.0,1,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100507,16,3,0,0,5.0,11.0,40.0,52.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101553,14,7,1,0,2.0,,33.0,,,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
101581,16,3,0,0,5.0,5.0,53.0,58.0,1,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100739,14,3,0,0,5.0,3.0,42.0,43.0,0,0,1,0,0,1,7,1,1,0,1,1,1,4,0,0,1,0.0
100488,17,3,0,0,5.0,,59.0,,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,1,40.0
100541,15,4,0,0,11.0,,38.0,38.0,,0,1,1,1,1,6,1,0,0,0,1,1,4,0,0,0,0.0
100237,14,3,0,1,2.0,2.0,52.0,53.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101445,12,7,1,0,6.0,5.0,43.0,43.0,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
101063,13,4,0,0,5.0,7.0,47.0,56.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100004,14,3,0,0,3.0,4.0,46.0,52.0,0,0,0,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100115,14,8,1,0,1.0,2.0,54.0,48.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100172,19,8,1,0,0.0,8.0,43.0,42.0,0,0,,,0,0,5,0,0,0,,0,0,0,0,1,0,0.0
101502,14,4,0,0,5.0,,43.0,,,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,1,20.0
100504,16,4,0,0,9.0,9.0,50.0,47.0,1,0,1,1,0,1,7,1,1,0,0,0,0,4,0,0,1,7.0
100716,14,3,0,0,8.0,5.0,37.0,40.0,1,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,1,5.0
100328,14,7,1,0,3.0,5.0,34.0,36.0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0.0
100099,16,3,0,0,4.0,4.0,46.0,51.0,0,0,1,1,0,0,6,1,0,0,0,0,0,2,0,0,0,0.0
101215,15,3,0,0,7.0,7.0,52.0,47.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100278,12,7,1,0,11.0,11.0,32.0,34.0,0,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
101615,14,7,1,0,7.0,8.0,41.0,40.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100101,15,7,1,0,3.0,6.0,36.0,38.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100664,14,8,1,0,5.0,7.0,40.0,46.0,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100650,16,3,0,0,5.0,,39.0,36.0,,0,1,1,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101392,15,3,0,0,0.0,5.0,45.0,46.0,0,0,0,1,1,1,9,1,1,1,0,0,0,5,0,0,0,0.0
101133,14,3,0,0,9.0,5.0,43.0,51.0,0,0,0,0,0,1,8,1,1,1,1,1,1,5,0,0,0,0.0
100500,16,7,1,0,5.0,5.0,56.0,56.0,0,0,1,0,1,1,9,1,1,1,0,0,0,5,0,0,0,0.0
100344,13,7,1,0,7.0,5.0,37.0,39.0,0,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100510,17,4,0,0,3.0,9.0,40.0,42.0,,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,1,40.0
100974,15,3,0,0,5.0,3.0,36.0,56.0,0,1,0,1,1,1,8,1,1,1,1,1,1,5,0,0,0,0.0
