"cohort","outcome","variance","n","n0","n1","ITT_same_sample","FS_same_sample","FS_se","FS_F","IV_beta","IV_se","IV_lower","IV_upper","IV_p","AR_p_null0","AR_confset","var_rf","var_fs","cov_rf_fs"
"A_2022","years_in_school","HC1",274,129,145,0.0293504410585407,0.154878374766105,0.0529884317317752,8.54317756585104,0.189506385916467,0.345925539629486,-0.488495213089909,0.867507984922844,0.583812612416163,0.590629048980003,"[-0.72887616, 1.09900199]",0.00297705133358276,0.002807773897393,0.000547361298017084
"A_2022","years_in_school","HC2",274,129,145,0.0293504410585407,0.154878374766105,0.0529919583038416,8.54204052053982,0.189506385916467,0.345927221259402,-0.49152878402983,0.870541555862765,0.584263706553023,0.59107078814134,"[-0.73645944, 1.10645601]",0.00297708146526627,0.00280814764487609,0.000547402579341984
"A_2022","married_or_cohab","HC1",273,128,145,0,0.149730603448276,0.0529950566308747,7.98271140325928,0,,,,,,"Not reported: no observed events in either arm",0,0.00280847602730962,0
"A_2022","married_or_cohab","HC2",273,128,145,0,0.149730603448276,0.0529988832865392,7.98155870029177,0,,,,,,"Not reported: no observed events in either arm",0,0.0028088816296202,0
"A_2022","has_child","HC1",272,127,145,0,0.15237578061363,0.0531902847867089,8.20667539596054,0,,,,,,"Not reported: no observed events in either arm",0,0.00282920639569119,0
"A_2022","has_child","HC2",272,127,145,0,0.15237578061363,0.0531945068240997,8.20537272328222,0,,,,,,"Not reported: no observed events in either arm",0,0.00282965555625919,0
"A_2022","working","HC1",274,129,145,-0.0240577385725742,0.154878374766105,0.0529884317317752,8.54317756585104,-0.155333103210218,0.213560635514986,-0.573904257335076,0.26323805091464,0.467012221095419,0.469218031233354,"[-0.77530796, 0.35815135]",0.00110491814260979,0.002807773897393,-0.000253160462459746
"A_2022","working","HC2",274,129,145,-0.0240577385725742,0.154878374766105,0.0529919583038416,8.54204052053982,-0.155333103210218,0.213574874174344,-0.575803051195355,0.265136844774918,0.467667447924032,0.46986403879264,"[-0.78096262, 0.36198068]",0.00110503781650139,0.00280814764487609,-0.000253105113325174
"A_2022","hours_worked","HC1",274,129,145,-0.195028067361667,0.154878374766105,0.0529884317317752,8.54317756585104,-1.25923369002416,5.39598261370047,-11.8351652740814,9.31669789403306,0.815477959028297,0.817349688509712,"[-14.38544846, 14.22395998]",0.71308145531348,0.002807773897393,-0.00758558074108902
"A_2022","hours_worked","HC2",274,129,145,-0.195028067361667,0.154878374766105,0.0529919583038416,8.54204052053982,-1.25923369002416,5.39613580059936,-11.8827349242873,9.36426754423901,0.815658624053392,0.817527849107363,"[-14.48526222, 14.36170924]",0.713117531750976,0.00280814764487609,-0.0075843946973226
"B_2018","years_in_school","HC1",162,74,88,0.0764742014742015,0.185503685503686,0.0779711998035062,5.66026351840518,0.412251655629138,1.17914348337216,-1.89882710438539,2.72333041564367,0.726624210560101,0.740305109203185,"[-5.89449104, 3.04782413]",0.0532347982856774,0.00607950799879829,0.00778992269319885
"B_2018","years_in_school","HC2",162,74,88,0.0764742014742015,0.185503685503686,0.0779785207835154,5.65920074546663,0.412251655629138,1.17931891772502,-1.91678711472445,2.74129042598272,0.727122921142627,0.740767826430169,"[-6.11364242, 3.08655965]",0.0532471537950213,0.00608064970358514,0.00778787485883371
"B_2018","married_or_cohab","HC1",162,74,88,-0.0313267813267812,0.185503685503686,0.0779711998035062,5.66026351840518,-0.168874172185429,0.168332721442247,-0.498800243631847,0.161051899260988,0.315756389099848,0.310761990021426,"[-0.98275338, 0.24734675]",0.000955162804647989,0.00607950799879829,-0.000454352619964519
"B_2018","married_or_cohab","HC2",162,74,88,-0.0313267813267812,0.185503685503686,0.0779785207835154,5.65920074546663,-0.168874172185429,0.168379230750934,-0.501406577667182,0.163658233296324,0.317404458299729,0.312437333899313,"[-1.00948984, 0.25434806]",0.000955737183771269,0.00608064970358514,-0.000454554085422254
"B_2018","has_child","HC1",162,74,88,-0.00859950859950857,0.185503685503686,0.0779711998035062,5.66026351840518,-0.0463576158940394,0.183240363393086,-0.40550212865852,0.312786896870441,0.800277474270381,0.803849768181261,"[-0.57641755, 0.71093562]",0.00119882652083882,0.00607950799879829,-0.000608871074134317
"B_2018","has_child","HC2",162,74,88,-0.00859950859950857,0.185503685503686,0.0779785207835154,5.65920074546663,-0.0463576158940394,0.183266556171194,-0.408291023572503,0.315575791784424,0.800630114113263,0.804194842591913,"[-0.58716359, 0.73295889]",0.00119915886136222,0.00608064970358514,-0.000608919051699444
"B_2018","working","HC1",162,74,88,0.00675675675675665,0.185503685503686,0.0779711998035062,5.66026351840518,0.036423841059602,0.37291795441013,-0.694481918772603,0.767329600891807,0.922192327053849,0.921288452720656,"[-0.80856801, 2.00395144]",0.00467592233358475,0.00607950799879829,-0.00139414110956772
"B_2018","working","HC2",162,74,88,0.00675675675675665,0.185503685503686,0.0779785207835154,5.65920074546663,0.036423841059602,0.372950526248496,-0.70011673503167,0.772964417150874,0.922321337635343,0.921419162391837,"[-0.82098231, 2.07208162]",0.00467676101461162,0.00608064970358514,-0.00139408360182275
"B_2018","hours_worked","HC1",162,74,88,-0.288083538083541,0.185503685503686,0.0779711998035062,5.66026351840518,-1.55298013245034,10.5578387202607,-22.2459637787437,19.140003513843,0.883058916882939,0.884220378847239,"[-31.66285742, 42.70461657]",3.91369770510662,0.00607950799879829,-0.0298030892405672
"B_2018","hours_worked","HC2",162,74,88,-0.288083538083541,0.185503685503686,0.0779785207835154,5.65920074546663,-1.55298013245034,10.5586320083287,-22.4052389571731,19.2992786922724,0.883252808790954,0.884412171035497,"[-32.26040084, 44.00462454]",3.91427737589767,0.00608064970358514,-0.0298050145724988
