"cohort","exposure","outcome","baseline_adjusted","n","k","n_control","n_selected","rf","rf_se","fs","fs_se","fs_F","var_rf","var_fs","cov_rf_fs","ar_p","beta","se","lower","upper","p","AR_set","constant_outcome"
"B_2018","in_private_now","married_or_cohab",FALSE,162,2,74,88,-0.0313267813267812,0.0309149993331921,0.185503685503686,0.0779785207835154,5.65920074546663,0.000955737183771269,0.00608064970358514,-0.000454554085422254,0.312437333899313,-0.168874172185429,0.168379230750934,-0.501406577667182,0.163658233296324,0.317404458299729,"[-1.00948984, 0.25434806]",FALSE
"B_2018","in_private_now","married_or_cohab",TRUE,162,8,74,88,-0.0317560832114615,0.0338917403007141,0.127968936514765,0.0779598544013987,2.69443110123318,0.00114865006061105,0.00607773889828728,-0.000537183640496272,0.350232896827848,-0.248154623116662,0.276977351109298,-0.795320072634459,0.299010826401136,0.371684021669283,"all real numbers",FALSE
"B_2018","in_private_now","has_child",FALSE,162,2,74,88,-0.00859950859950857,0.0346288732326396,0.185503685503686,0.0779785207835154,5.65920074546663,0.00119915886136222,0.00608064970358514,-0.000608919051699444,0.804194842591913,-0.0463576158940394,0.183266556171194,-0.408291023572503,0.315575791784424,0.800630114113263,"[-0.58716359, 0.73295889]",FALSE
"B_2018","in_private_now","has_child",TRUE,162,8,74,88,0.00662735905859133,0.0415148715287555,0.127968936514765,0.0779598544013987,2.69443110123318,0.00172348455804907,0.00607773889828728,-0.000590679920589493,0.873375275910781,0.0517888109340244,0.331625783238759,-0.603333963656752,0.706911585524801,0.876106374536475,"all real numbers",FALSE
"B_2018","in_private_now","working",FALSE,162,2,74,88,0.00675675675675665,0.0683868482576264,0.185503685503686,0.0779785207835154,5.65920074546663,0.00467676101461162,0.00608064970358514,-0.00139408360182275,0.921419162391837,0.036423841059602,0.372950526248496,-0.70011673503167,0.772964417150874,0.922321337635343,"[-0.82098231, 2.07208162]",FALSE
"B_2018","in_private_now","working",TRUE,162,8,74,88,0.0100378760273187,0.0710356733118436,0.127968936514765,0.0779598544013987,2.69443110123318,0.00504606688286697,0.00607773889828728,-0.00143907320067123,0.887811673624863,0.0784399425415285,0.569391467472751,-1.04638610191142,1.20326598699447,0.890609258765664,"all real numbers",FALSE
"B_2018","in_private_now","hours_worked",FALSE,162,2,74,88,-0.288083538083541,1.97845327867445,0.185503685503686,0.0779785207835154,5.65920074546663,3.91427737589767,0.00608064970358514,-0.0298050145724988,0.884412171035497,-1.55298013245034,10.5586320083287,-22.4052389571731,19.2992786922724,0.883252808790954,"[-32.26040084, 44.00462454]",FALSE
"B_2018","in_private_now","hours_worked",TRUE,162,8,74,88,-0.498331220353846,1.90278847284078,0.127968936514765,0.0779598544013987,2.69443110123318,3.62060397237573,0.00607773889828728,-0.0295237728835815,0.793752188144431,-3.89415770675214,14.5834919384126,-32.703671878443,24.9153564649387,0.789807116242214,"all real numbers",FALSE
"B_2018","started_g6_private","years_in_school",FALSE,163,2,73,90,0.0141552511415513,0.223551964908954,0.26834094368341,0.0730590863869344,13.490418155255,0.0499754810146541,0.00533763010369354,0.00428412770144782,0.949590446353504,0.0527509926262007,0.829437803376441,-1.58522949308642,1.69073147833882,0.949368825720902,"[-2.21863420, 1.71428220]",FALSE
"B_2018","started_g6_private","years_in_school",TRUE,163,8,73,90,-0.264000802112576,0.208495505554777,0.233564754442286,0.0685372847062307,11.6134385154519,0.0434703758365422,0.00469735939490293,0.00232241551207784,0.207334657457905,-1.13031096127053,1.00155092230209,-3.10876176428246,0.848139841741402,0.260826952235832,"[-4.51585857, 0.61091728]",FALSE
"B_2018","started_g6_private","married_or_cohab",FALSE,163,2,73,90,-0.032572298325723,0.0310398732214652,0.26834094368341,0.0730590863869344,13.490418155255,0.000963473729604635,0.00533763010369354,-0.000343443321523124,0.295580708449623,-0.121384004537719,0.115388857259146,-0.349254853551072,0.106486844475633,0.294396032561135,"[-0.41583084, 0.12667357]",FALSE
"B_2018","started_g6_private","married_or_cohab",TRUE,163,8,73,90,-0.0323007558221536,0.0337452009145421,0.233564754442286,0.0685372847062307,11.6134385154519,0.00113873858476281,0.00469735939490293,-0.000302537775088353,0.339959160569522,-0.138294649375855,0.144869260289606,-0.424467521837416,0.147878223085706,0.341257866249435,"[-0.52886219, 0.17749282]",FALSE
"B_2018","started_g6_private","has_child",FALSE,163,2,73,90,-0.0103500761035008,0.0345906889263496,0.26834094368341,0.0730590863869344,13.490418155255,0.00119651576039948,0.00533763010369354,-0.000540419323742572,0.765161393244108,-0.0385706182643223,0.12707484068313,-0.289519041903435,0.212377805374791,0.761880317307472,"[-0.31180244, 0.28563424]",FALSE
"B_2018","started_g6_private","has_child",TRUE,163,8,73,90,0.00555792931004171,0.0412202722307908,0.233564754442286,0.0685372847062307,11.6134385154519,0.00169911084278051,0.00469735939490293,-0.000317243201385152,0.892917381689598,0.0237960959619662,0.177403129832487,-0.326643763718028,0.374235955641961,0.89346926644037,"[-0.36252448, 0.50255104]",FALSE
"B_2018","started_g6_private","working",FALSE,163,2,73,90,-0.00213089802130901,0.0682305300282948,0.26834094368341,0.0730590863869344,13.490418155255,0.00465540522794204,0.00533763010369354,-0.000554705275647783,0.975124112530607,-0.00794100964265466,0.254036555143953,-0.50961445434168,0.493732435056371,0.975101450844206,"[-0.56518303, 0.62736097]",FALSE
"B_2018","started_g6_private","working",TRUE,163,8,73,90,0.00124670447149117,0.0708452180894626,0.233564754442286,0.0685372847062307,11.6134385154519,0.00501904492614352,0.00469735939490293,-0.000181192908887006,0.985982517976816,0.00533772518232937,0.303384014471624,-0.593963152772754,0.604638603137412,0.985985404809611,"[-0.70824240, 0.76335865]",FALSE
"B_2018","started_g6_private","hours_worked",FALSE,163,2,73,90,-0.490410958904103,1.97232718020126,0.26834094368341,0.0730590863869344,13.490418155255,3.89007450576065,0.00533763010369354,-0.0163381600546699,0.803951631752619,-1.82756664775947,7.31039719557184,-16.2641981834943,12.6090648879753,0.80290950657703,"[-18.45546715, 15.80340197]",FALSE
"B_2018","started_g6_private","hours_worked",TRUE,163,8,73,90,-0.69314332890296,1.90439352842029,0.233564754442286,0.0685372847062307,11.6134385154519,3.62671471108909,0.00469735939490293,-0.0247949860065833,0.716375937940922,-2.96767091660757,8.03379316441278,-18.8375225471471,12.902180713932,0.71233490042068,"[-21.30895297, 17.71231121]",FALSE
"B_2018","started_g7_private","years_in_school",FALSE,163,2,73,90,0.0141552511415513,0.223551964908954,0.215372907153729,0.0756683384059413,8.10128192159807,0.0499754810146541,0.00572569743711604,0.0051902443050834,0.949590446353504,0.0657243816254362,1.03112542422436,-1.97055044974383,2.1019992129947,0.949255977981198,"[-3.64799473, 2.21861471]",FALSE
"B_2018","started_g7_private","years_in_school",TRUE,163,8,73,90,-0.264000802112576,0.208495505554777,0.182015745284303,0.0740537784399886,6.04120358963014,0.0434703758365422,0.00548396210123892,0.00353170802716339,0.207334657457905,-1.45042837750226,1.40342308996943,-4.22273228885346,1.32187553384894,0.302982913909998,"[-11.29651582, 0.75412526]",FALSE
